metric,value
total_charts_processed,111
exact_time_records,111
date_only_records,5176
uncertain_records,0
duplicates_removed,0
drikpanchang_pages_fetched,111
successful_parses,111
failed_fetches,0
boundary_sensitive_charts,58
five_loop_charts,3
loop_0_count,41
loop_0_pct,36%
loop_2_count,31
loop_2_pct,27%
loop_3_count,27
loop_3_pct,24%
loop_4_count,9
loop_4_pct,8%
loop_5_count,3
loop_5_pct,2%
high_achiever_loop_0_count,40
high_achiever_loop_0_pct,37%
high_achiever_loop_2_count,29
high_achiever_loop_2_pct,27%
high_achiever_loop_3_count,27
high_achiever_loop_3_pct,25%
high_achiever_loop_4_count,9
high_achiever_loop_4_pct,8%
high_achiever_loop_5_count,2
high_achiever_loop_5_pct,1%
pearson_r_loop_vs_achievement,-0.021
